,baserunning,batting,color,day,defense,emoji,pitching,season,team
0,2.444444444,2.0,#64376e,99,2.722222222,🌮,1.2,2,Tacos
1,2.0,2.277777778,#9141ba,99,2.388888889,🚤,2.4,2,Dale
2,2.333333333,2.666666667,#f7d1ff,99,2.277777778,🌹,1.7,2,Flowers
3,1.888888889,2.166666667,#ffd4d8,99,2.555555556,📱,1.5,2,Millennials
4,2.833333333,2.166666667,#f5feff,99,2.777777778,🗣,1.7,2,Moist Talkers
5,1.722222222,1.888888889,#ffce0a,99,2.111111111,👟,2.0,2,Shoe Thieves
6,2.611111111,2.277777778,#bf0043,99,2.611111111,✨,2.0,2,Magic
7,2.277777778,2.166666667,#8c8d8f,99,2.722222222,🥩,2.1,2,Steaks
8,2.444444444,2.111111111,#780018,99,2.222222222,💋,1.6,2,Lovers
9,1.833333333,2.5,#3ee652,99,2.222222222,🏝,1.9,2,Fridays
10,2.166666667,2.777777778,#399d8f,99,2.833333333,🥧,1.8,2,Pies
11,2.222222222,1.833333333,#2b4075,99,2.666666667,🎸,1.2,2,Garages
12,2.222222222,2.888888889,#6388ad,99,2.666666667,👐,1.5,2,Jazz Hands
13,2.111111111,2.333333333,#fffbab,99,2.222222222,🌞,1.4,2,Sunbeams
14,2.555555556,2.111111111,#8c2a3e,99,2.888888889,🔥,1.4,2,Firefighters
15,2.444444444,2.055555556,#178f55,99,2.444444444,🍬,1.6,2,Breath Mints
16,2.166666667,2.777777778,#5c1c1c,99,2.666666667,🐅,2.4,2,Tigers
17,2.055555556,2.388888889,#67556b,99,2.722222222,🕵,1.2,2,Spies
18,2.333333333,2.0,#d15700,99,2.722222222,🍗,2.3,2,Wild Wings
19,2.333333333,2.111111111,#593037,99,2.888888889,🦀,2.8,2,Crabs
20,2.444444444,2.0,#64376e,100,2.722222222,🌮,1.2,2,Tacos
21,2.0,2.277777778,#9141ba,100,2.388888889,🚤,2.4,2,Dale
22,2.333333333,2.666666667,#f7d1ff,100,2.277777778,🌹,1.7,2,Flowers
23,1.888888889,2.166666667,#ffd4d8,100,2.555555556,📱,1.5,2,Millennials
24,2.833333333,2.166666667,#f5feff,100,2.777777778,🗣,1.7,2,Moist Talkers
25,1.722222222,1.888888889,#ffce0a,100,2.111111111,👟,2.0,2,Shoe Thieves
26,2.611111111,2.277777778,#bf0043,100,2.611111111,✨,2.0,2,Magic
27,2.277777778,2.166666667,#8c8d8f,100,2.722222222,🥩,2.1,2,Steaks
28,2.444444444,2.111111111,#780018,100,2.222222222,💋,1.6,2,Lovers
29,1.833333333,2.5,#3ee652,100,2.222222222,🏝,1.9,2,Fridays
30,2.166666667,2.777777778,#399d8f,100,2.833333333,🥧,1.8,2,Pies
31,2.222222222,1.833333333,#2b4075,100,2.666666667,🎸,1.2,2,Garages
32,2.222222222,2.888888889,#6388ad,100,2.666666667,👐,1.5,2,Jazz Hands
33,2.111111111,2.333333333,#fffbab,100,2.222222222,🌞,1.4,2,Sunbeams
34,2.555555556,2.111111111,#8c2a3e,100,2.888888889,🔥,1.4,2,Firefighters
35,2.444444444,2.055555556,#178f55,100,2.444444444,🍬,1.6,2,Breath Mints
36,2.166666667,2.777777778,#5c1c1c,100,2.666666667,🐅,2.4,2,Tigers
37,2.055555556,2.388888889,#67556b,100,2.722222222,🕵,1.2,2,Spies
38,2.333333333,2.0,#d15700,100,2.722222222,🍗,2.3,2,Wild Wings
39,2.333333333,2.111111111,#593037,100,2.888888889,🦀,2.8,2,Crabs
40,2.444444444,2.0,#64376e,101,2.722222222,🌮,1.2,2,Tacos
41,2.0,2.277777778,#9141ba,101,2.388888889,🚤,2.4,2,Dale
42,2.333333333,2.666666667,#f7d1ff,101,2.277777778,🌹,1.7,2,Flowers
43,1.888888889,2.166666667,#ffd4d8,101,2.555555556,📱,1.5,2,Millennials
44,2.833333333,2.166666667,#f5feff,101,2.777777778,🗣,1.7,2,Moist Talkers
45,1.722222222,1.888888889,#ffce0a,101,2.111111111,👟,2.0,2,Shoe Thieves
46,2.611111111,2.277777778,#bf0043,101,2.611111111,✨,2.0,2,Magic
47,2.277777778,2.166666667,#8c8d8f,101,2.722222222,🥩,2.1,2,Steaks
48,2.444444444,2.111111111,#780018,101,2.222222222,💋,1.6,2,Lovers
49,1.833333333,2.5,#3ee652,101,2.222222222,🏝,1.9,2,Fridays
50,2.166666667,2.777777778,#399d8f,101,2.833333333,🥧,1.8,2,Pies
51,2.222222222,1.833333333,#2b4075,101,2.666666667,🎸,1.2,2,Garages
52,2.222222222,2.888888889,#6388ad,101,2.666666667,👐,1.5,2,Jazz Hands
53,2.111111111,2.333333333,#fffbab,101,2.222222222,🌞,1.4,2,Sunbeams
54,2.555555556,2.111111111,#8c2a3e,101,2.888888889,🔥,1.4,2,Firefighters
55,2.444444444,2.055555556,#178f55,101,2.444444444,🍬,1.6,2,Breath Mints
56,2.166666667,2.777777778,#5c1c1c,101,2.666666667,🐅,2.4,2,Tigers
57,2.055555556,2.388888889,#67556b,101,2.722222222,🕵,1.2,2,Spies
58,2.333333333,2.0,#d15700,101,2.722222222,🍗,2.3,2,Wild Wings
59,2.333333333,2.111111111,#593037,101,2.888888889,🦀,2.8,2,Crabs
60,2.444444444,2.0,#64376e,102,2.722222222,🌮,1.2,2,Tacos
61,2.0,2.277777778,#9141ba,102,2.388888889,🚤,2.4,2,Dale
62,2.333333333,2.666666667,#f7d1ff,102,2.277777778,🌹,1.7,2,Flowers
63,1.888888889,2.166666667,#ffd4d8,102,2.555555556,📱,1.5,2,Millennials
64,2.833333333,2.166666667,#f5feff,102,2.777777778,🗣,1.7,2,Moist Talkers
65,1.722222222,1.888888889,#ffce0a,102,2.111111111,👟,2.0,2,Shoe Thieves
66,2.611111111,2.277777778,#bf0043,102,2.611111111,✨,2.0,2,Magic
67,2.277777778,2.166666667,#8c8d8f,102,2.722222222,🥩,2.1,2,Steaks
68,2.444444444,2.111111111,#780018,102,2.222222222,💋,1.6,2,Lovers
69,1.833333333,2.5,#3ee652,102,2.222222222,🏝,1.9,2,Fridays
70,2.166666667,2.777777778,#399d8f,102,2.833333333,🥧,1.8,2,Pies
71,2.222222222,1.833333333,#2b4075,102,2.666666667,🎸,1.2,2,Garages
72,2.222222222,2.888888889,#6388ad,102,2.666666667,👐,1.5,2,Jazz Hands
73,2.111111111,2.333333333,#fffbab,102,2.222222222,🌞,1.4,2,Sunbeams
74,2.555555556,2.111111111,#8c2a3e,102,2.888888889,🔥,1.4,2,Firefighters
75,2.444444444,2.055555556,#178f55,102,2.444444444,🍬,1.6,2,Breath Mints
76,2.166666667,2.777777778,#5c1c1c,102,2.666666667,🐅,2.4,2,Tigers
77,2.055555556,2.388888889,#67556b,102,2.722222222,🕵,1.2,2,Spies
78,2.333333333,2.0,#d15700,102,2.722222222,🍗,2.3,2,Wild Wings
79,2.333333333,2.111111111,#593037,102,2.888888889,🦀,2.8,2,Crabs
80,2.444444444,2.0,#64376e,103,2.722222222,🌮,1.2,2,Tacos
81,2.0,2.277777778,#9141ba,103,2.388888889,🚤,2.4,2,Dale
82,2.333333333,2.666666667,#f7d1ff,103,2.277777778,🌹,1.7,2,Flowers
83,1.888888889,2.166666667,#ffd4d8,103,2.555555556,📱,1.5,2,Millennials
84,2.833333333,2.166666667,#f5feff,103,2.777777778,🗣,1.7,2,Moist Talkers
85,1.722222222,1.888888889,#ffce0a,103,2.111111111,👟,2.0,2,Shoe Thieves
86,2.611111111,2.277777778,#bf0043,103,2.611111111,✨,2.0,2,Magic
87,2.277777778,2.166666667,#8c8d8f,103,2.722222222,🥩,2.1,2,Steaks
88,2.444444444,2.111111111,#780018,103,2.222222222,💋,1.6,2,Lovers
89,1.833333333,2.5,#3ee652,103,2.222222222,🏝,1.9,2,Fridays
90,2.166666667,2.777777778,#399d8f,103,2.833333333,🥧,1.8,2,Pies
91,2.222222222,1.833333333,#2b4075,103,2.666666667,🎸,1.2,2,Garages
92,2.222222222,2.888888889,#6388ad,103,2.666666667,👐,1.5,2,Jazz Hands
93,2.111111111,2.333333333,#fffbab,103,2.222222222,🌞,1.4,2,Sunbeams
94,2.555555556,2.111111111,#8c2a3e,103,2.888888889,🔥,1.4,2,Firefighters
95,2.444444444,2.055555556,#178f55,103,2.444444444,🍬,1.6,2,Breath Mints
96,2.166666667,2.777777778,#5c1c1c,103,2.666666667,🐅,2.4,2,Tigers
97,2.055555556,2.388888889,#67556b,103,2.722222222,🕵,1.2,2,Spies
98,2.333333333,2.0,#d15700,103,2.722222222,🍗,2.3,2,Wild Wings
99,2.333333333,2.111111111,#593037,103,2.888888889,🦀,2.8,2,Crabs
100,2.444444444,2.0,#64376e,104,2.722222222,🌮,1.2,2,Tacos
101,2.0,2.277777778,#9141ba,104,2.388888889,🚤,2.4,2,Dale
102,2.333333333,2.666666667,#f7d1ff,104,2.277777778,🌹,1.7,2,Flowers
103,1.888888889,2.166666667,#ffd4d8,104,2.555555556,📱,1.5,2,Millennials
104,2.833333333,2.166666667,#f5feff,104,2.777777778,🗣,1.7,2,Moist Talkers
105,1.722222222,1.888888889,#ffce0a,104,2.111111111,👟,2.0,2,Shoe Thieves
106,2.611111111,2.277777778,#bf0043,104,2.611111111,✨,2.0,2,Magic
107,2.277777778,2.166666667,#8c8d8f,104,2.722222222,🥩,2.1,2,Steaks
108,2.444444444,2.111111111,#780018,104,2.222222222,💋,1.6,2,Lovers
109,1.833333333,2.5,#3ee652,104,2.222222222,🏝,1.9,2,Fridays
110,2.166666667,2.777777778,#399d8f,104,2.833333333,🥧,1.8,2,Pies
111,2.222222222,1.833333333,#2b4075,104,2.666666667,🎸,1.2,2,Garages
112,2.222222222,2.888888889,#6388ad,104,2.666666667,👐,1.5,2,Jazz Hands
113,2.111111111,2.333333333,#fffbab,104,2.222222222,🌞,1.4,2,Sunbeams
114,2.555555556,2.111111111,#8c2a3e,104,2.888888889,🔥,1.4,2,Firefighters
115,2.444444444,2.055555556,#178f55,104,2.444444444,🍬,1.6,2,Breath Mints
116,2.166666667,2.777777778,#5c1c1c,104,2.666666667,🐅,2.4,2,Tigers
117,2.055555556,2.388888889,#67556b,104,2.722222222,🕵,1.2,2,Spies
118,2.333333333,2.0,#d15700,104,2.722222222,🍗,2.3,2,Wild Wings
119,2.333333333,2.111111111,#593037,104,2.888888889,🦀,2.8,2,Crabs
120,2.444444444,2.0,#64376e,105,2.722222222,🌮,1.2,2,Tacos
121,2.0,2.277777778,#9141ba,105,2.388888889,🚤,2.4,2,Dale
122,2.333333333,2.666666667,#f7d1ff,105,2.277777778,🌹,1.7,2,Flowers
123,1.888888889,2.166666667,#ffd4d8,105,2.555555556,📱,1.5,2,Millennials
124,2.833333333,2.166666667,#f5feff,105,2.777777778,🗣,1.7,2,Moist Talkers
125,1.722222222,1.888888889,#ffce0a,105,2.111111111,👟,2.0,2,Shoe Thieves
126,2.611111111,2.277777778,#bf0043,105,2.611111111,✨,2.0,2,Magic
127,2.277777778,2.166666667,#8c8d8f,105,2.722222222,🥩,2.1,2,Steaks
128,2.444444444,2.111111111,#780018,105,2.222222222,💋,1.6,2,Lovers
129,1.833333333,2.5,#3ee652,105,2.222222222,🏝,1.9,2,Fridays
130,2.166666667,2.777777778,#399d8f,105,2.833333333,🥧,1.8,2,Pies
131,2.222222222,1.833333333,#2b4075,105,2.666666667,🎸,1.2,2,Garages
132,2.222222222,2.888888889,#6388ad,105,2.666666667,👐,1.5,2,Jazz Hands
133,2.111111111,2.333333333,#fffbab,105,2.222222222,🌞,1.4,2,Sunbeams
134,2.555555556,2.111111111,#8c2a3e,105,2.888888889,🔥,1.4,2,Firefighters
